service,service_target_file_path,service_target_name,target_commandline,client_id,Customer,Product,platform_family,TimeStamp
,"""%ProgramFiles(x86)%\WinPcap\rpcapd.exe"" -d -f ""%ProgramFiles(x86)%\WinPcap\rpcapd.ini""",Remote Packet Capture Protocol v.0 (experimental),,"['2B0A39FDE6CC55661EF7D4455298650E26E6B849', '6000B2BBD2E0CC599B330455C711011D561698DD', 'B810F0AB1A50942E80F1FA33C848D75724287C17']",['viettel'],['cym'],[],1780110700.439
,"""C:\Program Files (x86)\Brother\iPrint&Scan\USBAppControl.exe""",Brother USB Application Controller,,"['10779DE6540CD9E8E779752155139819724659C5', '2395066862CCECA2E89AE60A220B83DC2BFA1F69', '6DAC12C1C8DD7A8A45B825C41B1D6D9567092AE7', 'F3F342D7D626FE66C772B16B5AE16493B84954AE']",['vpb'],['EDR'],[],1780112493.0
,"""C:\Program Files (x86)\Brother\iPrint&Scan\UsbAppControl\USBAppControl.exe""",Brother USB Application Controller,,['D36A37EF99152EB7A8E831D24624A624D389390C'],['vpb'],['EDR'],[],1780118991.0
,"""C:\Program Files (x86)\Brother\iPrint&Scan\WorkflowAppControl.exe""",Brother Workflow Application Controller,,"['10779DE6540CD9E8E779752155139819724659C5', '2395066862CCECA2E89AE60A220B83DC2BFA1F69', '6DAC12C1C8DD7A8A45B825C41B1D6D9567092AE7', 'F3F342D7D626FE66C772B16B5AE16493B84954AE']",['vpb'],['EDR'],[],1780112493.0
,"""C:\Program Files (x86)\Brother\iPrint&Scan\WorkflowAppControl\WorkflowAppControl.exe""",Brother Workflow Application Controller,,['D36A37EF99152EB7A8E831D24624A624D389390C'],['vpb'],['EDR'],[],1780118991.0
,"""C:\Program Files (x86)\Browny02\BrYNSvc.exe""",BrYNSvc,,"['9F5F2EC49DD144FCC79DEB34DE75E61A485871F8', 'D36A37EF99152EB7A8E831D24624A624D389390C']",['vpb'],['EDR'],[],1780112837.0
,"""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGMService.exe""",Adobe Genuine Software Monitor Service,,['999E229607CC0221A12391598D7217C5FF8A46B9'],['viettel'],['cym'],[],1780116461.566
,"""C:\Program Files (x86)\Common Files\Foxit\Foxit PDF Reader\FoxitPDFReaderUpdateService.exe""",Foxit PDF Reader Update Service,,['C68DBC48EE4FDC8CD5B56FACF4AC4A376F030E23'],['vpb'],['EDR'],[],1780112429.0
,"""C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReaderUpdateService.exe""",Foxit PDF Reader Update Service,,"['10779DE6540CD9E8E779752155139819724659C5', '2395066862CCECA2E89AE60A220B83DC2BFA1F69', 'D06FC6B5372E6D4BCE4AB171F78C80FF641002F8', 'F3F342D7D626FE66C772B16B5AE16493B84954AE']","['viettel', 'vpb']","['EDR', 'cym']",[],1780110461.702
,"""C:\Program Files (x86)\Gigabyte\AppCenter\AdjustService.exe""",GIGABYTE Adjust,,['D078523549831FB66A1BEB1193DF39E3E414D79E'],['vinhlong'],['EDR'],['Standalone Workstation'],1780111996.0
